Season,AVGHR,AVGSO,AVGBA,Launch_Angle,Exit_Velocity,Hard_Hit_Rate,GB,FB,LD,PU
2010,0.95,7.06,0.257,,,,,,,
2011,0.94,7.10,0.255,,,,,,,
2012,1.02,7.50,0.255,,,,,,,
2013,0.96,7.55,0.253,,,,,,,
2014,0.86,7.70,0.251,,,,,,,
2015,1.01,7.71,0.254,10.9,88.2,33.3,47,19.8,26.5,6.7
2016,1.16,8.03,0.255,11.6,88.5,34.5,46.1,21.2,25.7,7
2017,1.26,8.25,0.255,11.8,87.3,33.4,45.3,22.4,25.1,7.1
2018,1.15,8.48,0.248,12.4,88.4,35.6,44.5,23.1,25,7.4
2019,1.39,8.81,0.252,12.7,88.7,36.8,43.8,23.8,25.1,7.3
2020,1.28,8.68,0.245,12.7,88.4,37.6,43.7,24,25,7.4
2021,1.22,8.68,0.244,12.6,88.8,38.7,43.9,25.6,23.6,6.9
2022,1.07,8.40,0.243,12.7,88.6,38.4,43.6,25.7,23.7,7.1
2023,1.21,8.61,0.248,12.8,89,39.4,43.1,26.2,23.9,6.9
2024,1.12,8.48,0.243,13.3,88.8,38.9,42.7,26.4,23.7,7.1
