Team,Year,Hard_Hit,Exit_Velo,Launch_A,BA,Logo
ARI,2015,32.6,88.5,10,0.264,logos/ARI.svg
ATL,2015,29.4,87,8.4,0.251,logos/ATL.svg
BAL,2015,35.2,88.8,12.3,0.25,logos/BAL.svg
BOS,2015,33.4,88.5,10.6,0.265,logos/BOS.svg
CHC,2015,33.4,88.1,12.7,0.244,logos/CHC.svg
CHW,2015,31.6,87.8,8.9,0.25,logos/CHW.svg
CIN,2015,27.6,86.9,11.7,0.248,logos/CIN.svg
CLE,2015,34.7,88.3,11.2,0.256,logos/CLE.svg
COL,2015,33.2,88.4,10.9,0.265,logos/COL.svg
DET,2015,34.7,88.4,12.4,0.27,logos/DET.svg
HOU,2015,35.8,88.7,13.3,0.25,logos/HOU.svg
KCR,2015,32.5,88,11.3,0.269,logos/KCR.svg
LAA,2015,30.9,87.8,11.2,0.246,logos/LAA.svg
LAD,2015,35.3,88.6,11.7,0.25,logos/LAD.svg
MIA,2015,32.4,88.3,6.2,0.26,logos/MIA.svg
MIL,2015,32.1,88,9.8,0.251,logos/MIL.svg
MIN,2015,32.8,88.1,11.7,0.247,logos/MIN.svg
NYM,2015,34.6,88.7,12.6,0.244,logos/NYM.svg
NYY,2015,34.2,88.2,13.4,0.251,logos/NYY.svg
OAK,2015,30,87.3,10.8,0.251,logos/OAK.svg
PHI,2015,29.7,87.4,10.7,0.249,logos/PHI.svg
PIT,2015,35.7,88.5,9.3,0.26,logos/PIT.svg
SDN,2015,32.4,87.9,11.3,0.243,logos/SDN.svg
SEA,2015,38.8,89.9,11,0.249,logos/SEA.svg
SF,2015,31.3,87.6,9.1,0.267,logos/SF.svg
STL,2015,32.9,88.1,10.7,0.253,logos/STL.svg
TB,2015,32.3,87.9,12.8,0.252,logos/TB.svg
TEX,2015,35.6,88.6,11,0.257,logos/TEX.svg
TOR,2015,36.6,88.8,11.4,0.269,logos/TOR.svg
WAS,2015,37.4,89.4,9.4,0.251,logos/WAS.svg
ARI,2016,34.7,89,9.7,0.261,logos/ARI.svg
ATL,2016,31.5,88.4,9.4,0.255,logos/ATL.svg
BAL,2016,37.4,89.4,13.7,0.256,logos/BAL.svg
BOS,2016,35.2,89.1,11.3,0.282,logos/BOS.svg
CHC,2016,32.8,88.2,13.3,0.256,logos/CHC.svg
CHW,2016,33.2,88.5,10.7,0.257,logos/CHW.svg
CIN,2016,28.3,86.8,11.6,0.256,logos/CIN.svg
CLE,2016,35,88.5,13.2,0.262,logos/CLE.svg
COL,2016,35.7,88.5,11,0.275,logos/COL.svg
DET,2016,36.8,89,13.1,0.267,logos/DET.svg
HOU,2016,36,88.7,11.5,0.247,logos/HOU.svg
KCR,2016,33.9,88.4,10.6,0.261,logos/KCR.svg
LAA,2016,33.8,88.4,10.9,0.26,logos/LAA.svg
LAD,2016,37.2,89.3,10.8,0.249,logos/LAD.svg
MIA,2016,33.6,88.4,8.3,0.263,logos/MIA.svg
